	alpha_1	alpha_2	alpha_3	sigma.sq_1	sigma.sq_2	sigma.sq_3	theta_1	theta_2	theta_3
59	0.014949773	0.009083787	0.016247894	0.041155962	0.041155962	0.041155962	8.948834994	5.761622816	5.090722045
60	0.027802835	0.028829184	0.011717064	0.088659366	0.088659366	0.088659366	9.048284352	5.30176047	4.815677394
61	0.048886184	0.047930085	0.045409927	0.094024721	0.094024721	0.094024721	7.890082459	4.9140097	2.394361772
62	0.026105398	0.027219616	0.02433867	0.089217805	0.089217805	0.089217805	8.315580813	5.774542188	5.029293177
63	0.029050519	0.027212464	0.021275007	0.065382634	0.065382634	0.065382634	8.49164296	5.883700405	3.888581338
64	0.016022778	0.017129131	0.013638925	0.068096364	0.068096364	0.068096364	7.995536162	6.009913842	4.269315266
65	3.08E-05	0.315269464	8.72E-07	0.392055095	0.392055095	0.392055095	4.31E-13	5.747545765	2.75E-16
66	0.022154952	0.02057156	0.024216746	0.054854026	0.054854026	0.054854026	7.828408783	5.596355721	3.79956064
67	0.070985188	0.409794897	2.10E-09	2.96E-09	2.96E-09	2.96E-09	6.16E-29	5.525907144	1.73E-20
68	0.028721163	0.02454185	0.028945491	0.067273586	0.067273586	0.067273586	9.731588644	5.660100374	3.956803979
69	0.020583642	0.014071101	0.029801384	0.040230353	0.040230353	0.040230353	8.597310296	5.859003352	3.822933182
70	0.010484016	0.014751991	0.01785316	0.073809897	0.073809897	0.073809897	10.24115679	5.515812276	2.853255242
71	0.061084548	0.062343937	0.048353132	0.108143663	0.108143663	0.108143663	8.78587446	6.194092816	3.902149759
72	0.003450092	7.64E-05	0.004760582	0.034952829	0.034952829	0.034952829	7.833166727	5.618736185	4.057515446
73	0.141310147	0.504379915	5.30E-05	2.06E-09	2.06E-09	2.06E-09	-5.12E-31	5.112616761	2.03E-19
74	0.117909863	0.513843226	3.50E-06	2.06E-09	2.06E-09	2.06E-09	-3.66E-32	5.025488982	6.13E-21
75	0.004798149	0.000756642	0.010500551	0.034770924	0.034770924	0.034770924	8.095095257	5.023277892	3.858400067
76	0.023909889	0.024308309	0.026067032	0.066160079	0.066160079	0.066160079	7.58335931	6.235792989	3.444929409
77	0.001745861	5.14E-05	0.006107231	0.038353263	0.038353263	0.038353263	8.166902889	5.45524069	3.920032439
78	0.008804417	0.000484267	0.011104182	0.030406784	0.030406784	0.030406784	8.396513642	5.582796314	4.429461985
79	0.027718485	0.026688374	0.020032785	0.086869996	0.086869996	0.086869996	10.60456762	6.160557222	2.704727712
80	0.019880842	0.017967146	0.025206314	0.063044054	0.063044054	0.063044054	9.285882858	5.820239232	4.158225007
81	1.72E-05	0.312222566	5.48E-07	0.082450402	0.082450402	0.082450402	3.48E-13	6.43323516	2.72E-16
82	0.121163839	0.476165459	2.26E-06	2.06E-09	2.06E-09	2.06E-09	-9.61E-30	3.004680761	4.89E-20
83	0.025366549	0.02627005	0.02370784	0.088501249	0.088501249	0.088501249	9.351298614	5.027148122	3.794315827
84	0.017314063	0.019274867	0.020914865	0.084843063	0.084843063	0.084843063	7.15727557	5.07635546	3.795428049
85	0.036441647	0.031293042	0.040126115	0.051080849	0.051080849	0.051080849	9.026624917	5.444501469	4.332450745
86	0.044685043	0.418423243	2.07E-09	2.72E-09	2.72E-09	2.72E-09	7.62E-29	5.768050303	8.91E-21
87	0.050132747	0.051878387	0.037855738	0.119741477	0.119741477	0.119741477	7.397580216	5.383519732	4.61057538
88	0.045960728	0.046962962	0.051365251	0.109563162	0.109563162	0.109563162	8.572811956	5.872880311	4.12905403
89	0.00934068	2.06E-09	0.01215603	0.017431218	0.017431218	0.017431218	7.034849569	5.18008984	4.029495696
90	0.053291605	0.051419332	0.047540775	0.093501068	0.093501068	0.093501068	9.582265375	5.985505798	4.512475544
91	0.05833728	0.398267998	2.94E-09	2.09E-09	2.09E-09	2.09E-09	2.31E-28	4.069962104	4.53E-20
92	0.070514346	0.06900644	0.072293969	0.098124872	0.098124872	0.098124872	7.558110279	5.71035272	5.04859039
93	0.137104261	0.491827422	0.000135186	2.06E-09	2.06E-09	2.06E-09	-1.64E-30	2.795320854	7.76E-19
94	0.050065726	0.052820552	0.046128125	0.131237558	0.131237558	0.131237558	7.701085345	4.340079915	4.50187049
95	0.014632323	0.014736693	0.015460871	0.063224344	0.063224344	0.063224344	8.434408954	6.407612924	3.341000068
96	0.08416798	0.442854731	4.95E-09	2.51E-09	2.51E-09	2.51E-09	2.56E-31	4.792860818	2.48E-21
97	0.020739622	0.014979148	0.024245203	0.051200469	0.051200469	0.051200469	9.400943715	6.142007731	4.09190756
98	0.009164816	0.010102702	0.004048528	0.06723966	0.06723966	0.06723966	5.405321891	5.451592271	1.149047443
99	0.086726153	0.085187995	0.080107489	0.124831457	0.124831457	0.124831457	8.530604734	5.339224443	4.033279739
100	0.143568775	0.498833946	1.83E-06	2.06E-09	2.06E-09	2.06E-09	-9.99E-31	3.729756988	7.94E-21
101	0.00420262	7.72E-05	0.000703317	0.039428567	0.039428567	0.039428567	7.154385637	4.789951466	3.167176524
102	0.057685513	0.055755745	0.054134613	0.10580493	0.10580493	0.10580493	8.480973413	5.797129429	3.888110016
103	0.01141543	0.019019443	0.013770622	0.099451009	0.099451009	0.099451009	6.273233006	6.735996156	3.527187196
104	0.00410065	0.010878038	2.06E-09	0.083129715	0.083129715	0.083129715	9.105003719	6.081543846	-864441.9767
105	0.013122217	0.014890424	0.008481519	0.062668714	0.062668714	0.062668714	8.727449247	6.182765203	3.428703298
106	0.041376612	0.041428231	0.046398858	0.092909376	0.092909376	0.092909376	9.661880599	5.653495048	4.17783609
107	0.026333581	0.021244057	0.020767257	0.053118595	0.053118595	0.053118595	9.345829743	4.753432487	3.70046833
108	0.060887871	0.06262429	0.052852655	0.149746197	0.149746197	0.149746197	8.205629269	5.162703406	4.055889233
109	0.081470733	0.421486626	2.29E-09	2.07E-09	2.07E-09	2.07E-09	9.32E-30	4.70393165	6.29E-21
110	0.028327819	0.029684761	0.022200725	0.121123586	0.121123586	0.121123586	8.491949529	5.927005564	3.183792229
111	0.030625585	0.032271589	0.023807173	0.11178802	0.11178802	0.11178802	8.980149474	5.153608011	4.054046546
112	0.007238976	0.000479848	2.06E-09	0.027141011	0.027141011	0.027141011	7.959701822	4.611174121	11976.92474
113	0.009355582	0.000882112	0.02838597	0.027310968	0.027310968	0.027310968	7.230539821	5.271986792	2.692140896
114	0.105840226	0.112062404	0.098819186	0.277464915	0.277464915	0.277464915	7.920920516	4.909638961	4.056290397
115	0.006500719	0.00072314	0.006421216	0.033058996	0.033058996	0.033058996	7.905915232	4.994961908	2.8393229
116	0.002895311	0.000103378	2.06E-09	0.031708196	0.031708196	0.031708196	8.477378465	5.324032818	4739.314804
117	0.057631853	0.059229887	0.059612935	0.114649015	0.114649015	0.114649015	8.083855061	5.347725474	3.827325701
118	0.026036776	0.03302687	0.019959968	0.12653849	0.12653849	0.12653849	9.036605318	4.392620475	3.446118703
119	0.096702232	0.543036109	2.06E-09	2.06E-09	2.06E-09	2.06E-09	-7.43E-35	2.834023047	1.96E-25
120	0.024421815	0.018496746	0.013555975	0.049604401	0.049604401	0.049604401	9.08575954	5.069593	2.877067984
121	0.065498749	0.066680493	0.060320516	0.133215998	0.133215998	0.133215998	9.176612405	6.21068176	4.441175062
122	1.74E-05	3.26E-07	2.06E-09	0.040981508	0.040981508	0.040981508	6.616414388	5.186068402	-3.907752147
123	0.051253281	0.38389057	4.70E-09	2.06E-09	2.06E-09	2.06E-09	-2.63E-11	6.863021666	-4.73E-13
124	0.048132386	0.048631969	0.036920949	0.111342729	0.111342729	0.111342729	8.681239806	5.67517545	3.443983138
125	0.031024358	0.022997539	0.038357031	0.0361481	0.0361481	0.0361481	7.593412612	4.755808887	3.995967556
126	0.026090669	0.027984264	0.017210372	0.092688913	0.092688913	0.092688913	9.87245599	5.891449029	4.192999315
127	0.106591194	0.577940001	3.96E-05	2.25E-09	2.25E-09	2.25E-09	-9.24E-37	5.297185382	4.29E-22
128	0.002672798	1.61E-05	0.004992853	0.039064922	0.039064922	0.039064922	8.158225992	6.04985695	4.674158612
129	0.015846603	0.01454125	0.008350811	0.077818097	0.077818097	0.077818097	8.364179468	4.602920399	5.296030875
130	0.054289611	0.054895122	0.050201616	0.132341738	0.132341738	0.132341738	9.674082402	5.477505003	3.874140999
131	0.135019927	0.49400253	6.33E-05	2.07E-09	2.07E-09	2.07E-09	-1.82E-30	4.835897735	5.27E-19
132	0.090612817	0.438537527	5.17E-09	2.45E-09	2.45E-09	2.45E-09	3.99E-31	2.970763087	2.27E-21
133	0.114269986	0.116846097	0.11112257	0.245818362	0.245818362	0.245818362	9.248721603	5.274521771	4.283829364
134	0.030113625	0.025743202	0.020864151	0.060127762	0.060127762	0.060127762	8.298813612	5.646917468	3.867841137
135	0.074545983	0.415726267	5.45E-09	2.07E-09	2.07E-09	2.07E-09	2.21E-29	4.994275339	2.53E-20
136	0.026035615	0.024159316	0.016183839	0.084612576	0.084612576	0.084612576	8.260872161	5.855010433	1.832814361
137	0.021674543	0.019479966	0.014503895	0.069919222	0.069919222	0.069919222	8.42218819	5.571667007	5.131367297
138	0.07397094	0.41604463	3.94E-08	2.61E-09	2.61E-09	2.61E-09	1.33E-29	3.223750411	1.15E-19
139	0.07216595	0.411900837	2.06E-09	3.31E-09	3.31E-09	3.31E-09	4.83E-29	6.035318969	1.57E-20
140	0.017313887	0.018721741	0.017081606	0.077685503	0.077685503	0.077685503	9.138875357	5.409151203	4.356263985
141	0.089009592	0.434147077	2.34E-06	2.06E-09	2.06E-09	2.06E-09	4.59E-28	3.353520178	1.65E-18
142	0.043059189	0.042603479	0.03533137	0.12000993	0.12000993	0.12000993	9.912092166	5.471044081	4.639158591
143	0.048017891	0.046846611	0.047742337	0.089267118	0.089267118	0.089267118	8.825601799	5.02379952	4.086536942
144	0.052216636	0.589921098	2.06E-09	5.27E-09	5.27E-09	5.27E-09	1.43E-33	4.274588687	6.89E-27
145	0.058497597	0.055570373	0.043306065	0.098756018	0.098756018	0.098756018	9.168922744	5.977501473	5.177432655
146	0.042162471	0.043201448	0.045456855	0.115257238	0.115257238	0.115257238	8.390103125	5.491728526	4.627580132
147	0.005508451	0.000162839	2.06E-09	0.035948011	0.035948011	0.035948011	8.669785769	6.051070596	-4339.511927
148	0.018411815	0.018585028	0.016985586	0.074998256	0.074998256	0.074998256	10.38679975	6.135392168	4.917355759
149	0.080424352	0.570434532	2.06E-09	2.06E-09	2.06E-09	2.06E-09	-6.31E-37	4.008520921	3.08E-26
150	0.019945503	0.015202238	0.022632422	0.051168888	0.051168888	0.051168888	8.663443862	5.077241825	3.948049215
151	0.082358905	0.422074987	2.71E-09	2.06E-09	2.06E-09	2.06E-09	-8.46E-28	4.715929272	7.10E-21
152	0.024531792	0.023544997	0.020711901	0.077852112	0.077852112	0.077852112	8.952617448	6.162902268	3.616319247
153	0.023342606	0.020778685	0.019201318	0.063693546	0.063693546	0.063693546	10.07127747	5.108220117	2.343394558
154	0.046234014	0.044138014	0.044241019	0.091241235	0.091241235	0.091241235	8.073198926	5.210228786	5.056667611
155	0.015826848	0.019327413	0.024300425	0.072611295	0.072611295	0.072611295	9.878934636	6.248250079	3.098914235
156	0.009611234	0.013962926	0.013319236	0.069737071	0.069737071	0.069737071	11.28816418	5.07977714	5.339255983
157	0.023541388	0.022067916	0.031894974	0.053702645	0.053702645	0.053702645	9.128896683	5.836215797	2.934171014
158	0.060741264	0.063428937	0.055452671	0.121801319	0.121801319	0.121801319	7.646929037	5.315919122	4.12717224
159	0.02099685	0.015832354	0.019753899	0.052705651	0.052705651	0.052705651	10.21558276	5.820316171	3.66152922
160	0.022570137	0.025750227	0.030365494	0.09250337	0.09250337	0.09250337	7.382356314	5.471774062	3.529714432
161	0.020523329	0.016515781	0.005875127	0.073853971	0.073853971	0.073853971	8.144612906	6.071399599	2.155112976
162	0.020171432	0.019068091	0.023329506	0.063920952	0.063920952	0.063920952	7.240248274	5.522921483	4.965417548
163	0.002213324	0.000150305	0.003936169	0.044077868	0.044077868	0.044077868	8.744012311	5.167530714	3.02472118
164	0.049303116	0.048699245	0.04435254	0.11964742	0.11964742	0.11964742	9.167264138	5.068290386	4.623266833
165	0.007057648	0.00038976	0.013222886	0.030667347	0.030667347	0.030667347	8.631956734	5.306328209	3.619540074
166	0.172693253	0.537901435	3.21E-09	2.06E-09	2.06E-09	2.06E-09	-8.29E-33	3.523232142	5.73E-25
167	0.118272865	0.474378729	1.22E-05	2.06E-09	2.06E-09	2.06E-09	-2.00E-29	5.442845971	5.51E-19
168	0.082377031	0.426601612	2.75E-09	2.06E-09	2.06E-09	2.06E-09	4.18E-30	4.978216534	5.28E-21
169	0.138765885	0.49837985	0.000389251	3.84E-09	3.84E-09	3.84E-09	2.85E-28	3.744607898	1.79E-18
170	0.126272569	0.274442212	5.32E-09	5.32E-09	5.32E-09	5.32E-09	6095394.843	29.45887089	-1917.267139
171	0.028004963	0.028613227	0.022209743	0.100913938	0.100913938	0.100913938	9.744912351	4.60075826	5.337578068
172	0.008445318	0.000609975	0.012298222	0.028604446	0.028604446	0.028604446	7.384710677	4.907271914	3.859501328
173	0.093110436	0.098431218	0.088977581	0.228366292	0.228366292	0.228366292	7.991690502	5.662996202	4.734902174
174	2.95E-08	2.06E-09	5.04E-05	0.037098581	0.037098581	0.037098581	9.072713267	6.202728827	4.34068124
175	0.043972739	0.042829177	0.047505621	0.064032342	0.064032342	0.064032342	9.558706299	5.43139501	3.400697948
176	0.021516076	0.020065626	0.010616922	0.050352276	0.050352276	0.050352276	8.879197985	6.193229376	3.87127415
177	0.060058372	0.059440771	0.065723539	0.099582356	0.099582356	0.099582356	8.249584826	4.990473843	3.427488805
178	0.023706232	0.022314158	0.017936655	0.090861274	0.090861274	0.090861274	9.210420199	5.438813176	3.733723176
179	0.00111803	3.31E-05	0.000391438	0.042608475	0.042608475	0.042608475	8.535675784	5.672422703	3.836227724
180	0.056076748	0.059082064	0.049357448	0.138290578	0.138290578	0.138290578	9.265291604	5.442549725	5.126812371
181	0.020691782	0.018794185	0.016947182	0.075706534	0.075706534	0.075706534	8.038320661	5.243568666	2.978691261
182	0.023212846	0.024575905	0.025442923	0.07715653	0.07715653	0.07715653	7.873500836	6.189083521	3.843768893
183	1.05E-05	1.24E-07	4.74E-08	0.057968332	0.057968332	0.057968332	6.815377308	5.264100602	3.038226309
184	0.010968527	0.00669661	2.06E-09	0.045723988	0.045723988	0.045723988	8.502499646	6.105262438	435181.0279
185	0.024003041	0.02479339	0.02136916	0.072839987	0.072839987	0.072839987	10.12060496	5.566628525	3.759079099
186	0.091805253	0.438432697	3.51E-06	2.06E-09	2.06E-09	2.06E-09	-2.98E-28	2.34200751	1.23E-18
187	0.008856596	0.008490797	0.007438902	0.066990438	0.066990438	0.066990438	10.51538018	6.487328695	3.154549534
188	0.020466356	0.019199468	0.019960472	0.063463864	0.063463864	0.063463864	7.978665353	5.06912397	2.831177883
189	0.017104784	0.01713423	0.009014855	0.083208287	0.083208287	0.083208287	8.026700961	6.779200523	3.923174966
190	0.0064381	0.003075185	0.000508101	0.043537424	0.043537424	0.043537424	8.42817118	5.727210013	1.312135862
191	0.021576603	0.025549401	0.020675964	0.095774015	0.095774015	0.095774015	7.886965447	5.363553464	3.165214577
192	0.09257968	0.092502556	0.08470516	0.20326067	0.20326067	0.20326067	9.335570367	5.577396061	4.016003788
193	0.030685752	0.033716557	0.027558043	0.091996176	0.091996176	0.091996176	9.751342541	6.194763643	1.665150809
194	0.024020635	0.024360718	0.019370163	0.084397145	0.084397145	0.084397145	8.830928148	5.240292658	3.286796763
195	0.026940898	0.026489508	0.014479562	0.086174138	0.086174138	0.086174138	9.266951277	5.569419221	5.284633795
196	1.28E-05	0.308634557	2.94E-07	0.126172062	0.126172062	0.126172062	262.7724969	5.638582811	-3896924.867
197	0.125418896	0.496574297	1.77E-05	2.93E-09	2.93E-09	2.93E-09	-5.29E-31	3.33858551	8.25E-20
198	0.06637165	0.070652713	0.068387279	0.157041123	0.157041123	0.157041123	8.50750616	6.010676747	4.489718539
199	0.025176527	0.025156672	0.021113604	0.082152945	0.082152945	0.082152945	7.300837543	5.612216821	4.142077328
200	0.020568019	0.01797662	0.025604185	0.054185632	0.054185632	0.054185632	9.237941789	6.32225547	3.751203175
201	0.084901343	0.085544708	0.090285844	0.113956219	0.113956219	0.113956219	9.032302227	5.277887156	3.409961284
202	0.069089858	0.404494808	6.20E-09	2.37E-09	2.37E-09	2.37E-09	1.07E-28	4.072513419	5.79E-20
203	0.016215459	0.014028484	0.024573842	0.047744187	0.047744187	0.047744187	10.09948539	6.529910524	4.142514947
204	0.014470585	0.014010537	0.025117653	0.053548314	0.053548314	0.053548314	9.358623033	5.520853869	4.608430514
205	0.004539021	0.673650476	0.004539021	0.051600828	0.051600828	0.051600828	-2.56E-46	5.408130453	2.87E-23
206	0.021820644	0.02094374	0.020867726	0.065675085	0.065675085	0.065675085	8.308808217	5.031096351	4.673739363
207	0.056685462	0.053997498	0.052598857	0.072294783	0.072294783	0.072294783	7.543020924	6.047294582	3.229590403
208	0.019995188	0.014736956	0.023244493	0.043684892	0.043684892	0.043684892	8.866857344	5.346920895	3.68010067
209	0.169855385	0.534955528	2.46E-09	3.26E-09	3.26E-09	3.26E-09	-9.39E-33	2.882444572	4.55E-25
210	0.050144425	0.047652444	0.048956758	0.094198509	0.094198509	0.094198509	8.575983171	5.301685626	4.842040396
211	0.00604225	0.000547353	0.003702679	0.027653706	0.027653706	0.027653706	7.9115334	5.018660028	4.443919068
212	0.015230537	0.015880878	0.010828914	0.079843275	0.079843275	0.079843275	8.209353545	5.558159502	4.739857854
213	0.061093001	0.399678356	2.07E-09	2.08E-09	2.08E-09	2.08E-09	-5.52E-28	5.398649573	3.77E-20
214	0.029221375	0.028487534	0.027861813	0.075828827	0.075828827	0.075828827	9.076526946	6.088386383	2.69373962
215	0.07034773	0.403926877	4.06E-09	2.33E-09	2.33E-09	2.33E-09	1.58E-28	5.229838833	5.09E-20
216	0.031579033	0.024843672	0.038778618	0.047817352	0.047817352	0.047817352	9.550694941	5.5864844	4.441560447
217	0.004558272	0.000158203	0.001270304	0.031434947	0.031434947	0.031434947	7.897184556	4.986977792	3.700260762
218	0.008225835	0.001871412	0.028551584	0.027604779	0.027604779	0.027604779	9.370099604	5.324811356	4.724139123
219	0.023260645	0.023416182	0.015147601	0.092085009	0.092085009	0.092085009	8.634327578	4.60470882	4.019551761
220	0.132634304	0.489404472	7.47E-06	2.07E-09	2.07E-09	2.07E-09	-2.94E-28	3.281903949	6.08E-20
221	0.055000096	0.054859706	0.054286033	0.096318751	0.096318751	0.096318751	8.375495704	6.125725063	3.007459149
222	0.017360447	0.013281077	0.014216467	0.045752696	0.045752696	0.045752696	8.98605974	6.72448749	3.730565566
223	0.037139974	0.041096284	0.041260466	0.095818202	0.095818202	0.095818202	9.652453126	5.451906115	3.266792085
224	0.029127904	0.029430468	0.025089524	0.073867641	0.073867641	0.073867641	8.170966753	4.860820048	3.773081239
225	0.045439231	0.409242824	2.19E-09	2.06E-09	2.06E-09	2.06E-09	2.23E-29	3.86748348	1.33E-20
226	0.018936752	0.019530777	0.017055101	0.078172418	0.078172418	0.078172418	9.944290208	5.530624851	4.366427772
227	0.018789919	0.0173026	0.015386667	0.074351691	0.074351691	0.074351691	8.903290128	4.613762752	3.707084257
228	0.018614642	0.01829003	0.015169168	0.061492609	0.061492609	0.061492609	8.103462049	5.271397542	5.054558908
229	0.049175691	0.050368759	0.030043628	0.108082428	0.108082428	0.108082428	7.438109048	5.131301146	3.239835995
230	0.074057187	0.412166351	2.06E-09	2.10E-09	2.10E-09	2.10E-09	3.26E-29	4.046261648	1.03E-20
231	0.041503697	0.367214317	3.20E-09	2.14E-09	2.14E-09	2.14E-09	2.79E-11	8.240964597	-3.70E-13
232	0.003587614	0.000222992	0.007095942	0.048212292	0.048212292	0.048212292	7.2846303	5.537207241	4.5047258
233	0.127529943	0.479839123	4.64E-06	3.47E-09	3.47E-09	3.47E-09	-6.72E-28	5.727135282	1.42E-19
234	0.039471129	0.361412255	3.19E-09	2.06E-09	2.06E-09	2.06E-09	6.33E-11	6.807098194	-3.22E-13
235	0.050974914	0.383445582	3.97E-05	2.99E-09	2.99E-09	2.99E-09	6.38E-11	6.963704066	-9.64E-10
236	0.047139248	0.043491024	0.033751503	0.076982458	0.076982458	0.076982458	9.638139186	5.256768471	3.870690883
237	0.038282921	0.040084338	0.040637408	0.13427421	0.13427421	0.13427421	8.615505449	5.567920656	4.771762931
238	0.057163105	0.392631741	8.32E-09	2.62E-09	2.62E-09	2.62E-09	-7.56E-10	5.134577626	-6.27E-12
239	0.002774187	0.00015736	0.008020177	0.046594939	0.046594939	0.046594939	7.542620561	5.999508589	3.675553119
