#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_9_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_9_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_9_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_9_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_9_1_1" id="treeLikelihood.simcoal_input_9_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_9_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_9_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12285.675717514205	-11568.369737836441	-717.3059796777628	0.1294117964937689	0.09217782417222348	0.003352440566739286	0.0023878127609567278	0.0027083177732580687	0.002830807757718242	0.09343205168721298	0.013299497252239433	0.0052874727172168125	0.09707319327423948	0.07668079994794941	0.02559098206225857
1000	-12298.036143367757	-11575.264553195791	-722.7715901719652	0.11371904750188375	0.059779636772114536	0.004142512626815007	0.0018956647279646285	0.002961497384780561	0.0025466153624706914	0.07497389920393406	0.01493187662312568	0.00441959827611801	0.07516112976241553	0.07052910155951252	0.02009460335701269
2000	-12289.605835863847	-11582.435684116757	-707.1701517470905	0.07713900333418808	0.1570257987181885	0.004409306258007702	0.003295639118147177	0.003076690083586871	0.002118407370555932	0.10601239962314077	0.020629993634582712	0.005821780826035372	0.07683938322988298	0.08731459306703913	0.029094826954646498
3000	-12286.722210807216	-11578.443621807623	-708.2785889995934	0.07830775318924679	0.09938454204541886	0.0036073915334543147	0.0032803525332352457	0.0036486499791211846	0.002950595612761101	0.09398691637462955	0.018195114396467583	0.0043916572446544315	0.09032212826361141	0.0736021944892313	0.02888394519066424
4000	-12286.452954066728	-11577.384217434352	-709.068736632376	0.1911541864610474	0.08731734003009502	0.003315671475349166	0.004570910835436938	0.0029995999383278823	0.0027372512722837754	0.09965639440132631	0.01647141442638135	0.0049874392907400325	0.06887888987750203	0.07765988054529016	0.024050652749181174
5000	-12283.445273079764	-11576.482092745182	-706.9631803345816	0.13162360468529224	0.10021199278138186	0.004042868473561254	0.004165416777259302	0.0024985989546822047	0.002994914887075449	0.09288548743916428	0.016808725758073993	0.005614637692570543	0.09006603195653307	0.06566648859067056	0.02568844420816257
6000	-12282.358892109836	-11580.69137149434	-701.6675206154957	0.11316755907045366	0.10313737881222879	0.0040037927096296735	0.003517792671430693	0.0033755514232446686	0.0032697927021180066	0.1074843629528359	0.014210152469414736	0.0067386003138906435	0.10955705909825607	0.07466677832539423	0.026372708725801382
7000	-12286.18465163453	-11585.075390680042	-701.1092609544893	0.13051951352060545	0.1962634509314149	0.004280070426344463	0.0034419015605929703	0.0026471234519176135	0.0023642351010288725	0.07906211230812063	0.025445810243495317	0.009197265854887327	0.12291926975209792	0.06375590960424883	0.02873162320338406
8000	-12282.759398052454	-11577.240509539539	-705.5188885129147	0.1044371750836036	0.15414665984845893	0.0037195502776966654	0.002947553105551642	0.002974091897700281	0.002465521436545935	0.08932415271581563	0.020517199785646974	0.008219907003433793	0.13236630676374583	0.06057675104841291	0.03011113375721657
9000	-12288.009529754268	-11575.144816415812	-712.8647133384567	0.09349480824998696	0.1935527444382851	0.003667077679916587	0.002596145483593494	0.0032898391867874233	0.002987392957906417	0.07643400774289663	0.015711517374135134	0.005611980353355805	0.11099488113140202	0.05807899026851454	0.028751757685410682
10000	-12285.531004843095	-11584.440147543955	-701.0908572991386	0.09378222031863083	0.0820900142072264	0.00361652937331535	0.0038702062431778266	0.002917352435401266	0.0035615116746262484	0.11383286711545863	0.018444215779073642	0.007323336816218237	0.06780122508558922	0.07574738387289884	0.030773041637030835
11000	-12286.000948196724	-11573.415837206225	-712.5851109904999	0.11554217129806106	0.10334552968436003	0.0032569236936029274	0.0022727603015758103	0.002567131420042089	0.003431678360128147	0.09510057058922976	0.018560230043785264	0.0056448861620487034	0.07889365602612342	0.06877994698016565	0.02445139729749232
12000	-12281.108922832349	-11576.059893411666	-705.0490294206828	0.1405579595278856	0.10139226145972086	0.0035554274978430293	0.003972944299156163	0.0034636628493051576	0.0025240261991111086	0.10381517339649132	0.014444253766945445	0.006645079471445243	0.09249787602450497	0.0708557168780514	0.027652688426890844
