#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_8_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_8_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_8_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_8_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_8_1_1" id="treeLikelihood.simcoal_input_8_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_8_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_8_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12187.908662631353	-11466.612279034258	-721.2963835970952	0.07982781138822273	0.15000903159510937	0.003993607992594839	0.0027578091219096264	0.002486465813758256	0.003223630759886195	0.11408414941203618	0.005430573883591368	0.006580470337587368	0.07845752215028115	0.07293031509138925	0.024958647876326474
1000	-12187.450898251795	-11455.132498342311	-732.3183999094827	0.10153431172591086	0.08381232627183881	0.0027508124344329133	0.002596869852187605	0.00227113347502297	0.0024855811393483334	0.10272734401127213	0.00468177870891362	0.00579434491514803	0.10864457663749469	0.06641796984324687	0.020969579851746127
2000	-12191.38983274118	-11452.706725014132	-738.6831077270498	0.0767811655202847	0.09019645224792841	0.002740218680168217	0.0029669927855338197	0.001968727801025208	0.0016423649870965457	0.0848731402139954	0.005097058356923553	0.00613316133415232	0.10883366079610171	0.05794566184632827	0.02044286897515624
3000	-12186.35248739862	-11473.273985937432	-713.0785014611886	0.105479729226189	0.08879018038630213	0.003149965703423162	0.003419224427826442	0.0023498700991414793	0.003079571223531487	0.1240728653553279	0.007413759348420112	0.010175851835485542	0.11633929205735498	0.07310821225133546	0.03189203681132338
4000	-12191.427262740437	-11475.659019793777	-715.7682429466612	0.12972937384503772	0.08662660675829424	0.002530538167617062	0.0036024236517676047	0.0032105818173399055	0.0032014958944161357	0.13067689178089922	0.004509449651179893	0.010447437454351928	0.1264568575268993	0.08667558808594117	0.03156665733915538
5000	-12185.076887910867	-11467.553070031387	-717.5238178794812	0.10895589055315524	0.14038072244393554	0.003420512569077773	0.0027329769531307837	0.003085467698288305	0.001760933606757224	0.1224800032978871	0.008456010283559882	0.009225906118557092	0.13141152030557926	0.07059564807771637	0.029633601576811577
6000	-12188.006355035723	-11457.182636847278	-730.8237181884459	0.14214596436945906	0.12107495429690893	0.002583996651649865	0.0026092960109383562	0.0023881671900446936	0.0018765538559505192	0.08548439782997341	0.00880217462345532	0.005308348391576298	0.10843532910186973	0.06454768618612931	0.026611580164542323
7000	-12186.936929893529	-11461.514753387348	-725.4221765061817	0.109505816623321	0.12454359041039063	0.0034665685341466754	0.002808486312326418	0.002194764341709605	0.0026181880460295444	0.1099365034483063	0.005326888974466378	0.007282650064660977	0.07189514783585754	0.07045472281709096	0.02465185628171998
8000	-12189.288361544215	-11466.010090408252	-723.2782711359638	0.11378457512445343	0.08815558915298437	0.002846122333199425	0.0029335037206839375	0.0034209360869535436	0.0019201579634188497	0.09768708127575304	0.006767955290602405	0.007249065150200019	0.11436992285787063	0.07883730418122173	0.025178209176923906
9000	-12186.468285467407	-11457.755631008176	-728.7126544592293	0.1323885267521441	0.09130964142280623	0.00293735992390533	0.0024963989987019006	0.0017319838485645646	0.0023976659649479824	0.10965468894326687	0.006847106042615038	0.007519622377633232	0.13463642255316843	0.07225487274126213	0.02634584549537006
10000	-12190.051309270162	-11469.064695505223	-720.9866137649386	0.17136304099865876	0.13074737030204894	0.004242516816307068	0.0018441596712428802	0.002332938168706651	0.0025503745475633434	0.1354692853923371	0.010689432866520326	0.006850543390480109	0.10165039373536226	0.08202018285801421	0.029596385087955143
11000	-12188.072282570269	-11459.624942297423	-728.4473402728453	0.10120325018550155	0.07894081310409523	0.003268948820635678	0.0031068318172070395	0.0018626243548957831	0.0023407566160151792	0.12786107628364277	0.005702515970610216	0.006687839954472317	0.11694956035770557	0.06758311379105066	0.02645201682857666
12000	-12185.718557359562	-11460.57452583182	-725.1440315277408	0.07044175567644334	0.11835777531888296	0.002776432956070169	0.0031770447748558995	0.001868803340230558	0.002827242845304334	0.10861912880622879	0.007530597058743275	0.006431520723056003	0.11457038384264558	0.0643016685961166	0.026157575047462505
