#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_1_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_1_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_1_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_1_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_1_1_1" id="treeLikelihood.simcoal_input_1_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_1_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_1_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12159.554346561985	-11450.204795437636	-709.3495511243484	0.11196859028220017	0.14803911958139201	0.003461791046685149	0.002335653777956379	0.0038832917408764926	0.002581322642316276	0.0929593521983952	0.007726456668116435	0.012421276852839282	0.11426501214898255	0.07587508131115055	0.029115776680666915
1000	-12159.273839652598	-11445.784908994076	-713.4889306585225	0.12458855145999655	0.09371987336172106	0.003966710686544045	0.0024417609024035302	0.0032572017679741833	0.0024997928475696107	0.08338432952001845	0.006973959998231798	0.012694606289890352	0.11324898172480292	0.056483964007534984	0.03477713874457828
2000	-12159.843355999388	-11446.488679768612	-713.354676230776	0.17577318480369775	0.10952534212035656	0.003933620110706325	0.0028749514720306855	0.003445906583575628	0.0024267971194120467	0.10095544312802257	0.006978403604757291	0.011084910080138885	0.13590970883950462	0.05903246601238865	0.03553058350918755
3000	-12158.098970359228	-11440.383757547252	-717.7152128119762	0.20761206603974958	0.09660321472955916	0.0031264825129074816	0.0025315435642903924	0.0032443859865318382	0.0022166354746028807	0.08334811204563249	0.007669189288502039	0.012741355820939122	0.11547804209470007	0.06256202589628944	0.03146525930320136
4000	-12166.595733726903	-11450.792770611588	-715.8029631153153	0.1026064028737931	0.11805825886196672	0.003998743243780633	0.002589673240832201	0.0023428380020984385	0.003534490247718074	0.10824088245207238	0.005843987213260768	0.010124622508469055	0.1082212889288326	0.0660510084623766	0.03537961230376366
5000	-12159.472939679898	-11444.28366850962	-715.1892711702773	0.12241933322525314	0.07148043029422878	0.002952869708182292	0.0022693532822010273	0.003130287520587759	0.0028324002044440217	0.08729684198663186	0.007398920731936263	0.01292613162669663	0.09573009334044129	0.06981465593745313	0.02956566912355004
6000	-12160.01366121471	-11443.587072033444	-716.4265891812662	0.0907797924059179	0.1222962745008115	0.003257986363215794	0.003107417623326984	0.0029201489523594305	0.0027219270241457955	0.09484057609451839	0.005014366820539352	0.011905533476443233	0.11160078746724651	0.07605300437276517	0.031676547209239195
7000	-12157.744120923673	-11437.111365634226	-720.6327552894472	0.09628381605412668	0.06543061021700801	0.003381125852632859	0.0022372737337651633	0.0031832512654296537	0.002588206532454415	0.08349544097538286	0.006121331028074675	0.010169561800074733	0.12232748012605901	0.06400993633303173	0.02801829686564693
8000	-12160.75483168486	-11439.558654262808	-721.196177422052	0.08844517548633837	0.06495825936599955	0.0031857864173645443	0.0024633001361670927	0.003767219751505503	0.0026932701796641427	0.08200722853352063	0.004791609086863386	0.009893188572383119	0.1313792357804154	0.06807085610647862	0.030279102889582816
9000	-12158.84743970942	-11437.714935004611	-721.1325047048077	0.1447504289464951	0.09658211289836613	0.003568163968357324	0.0020752730231467956	0.0031181981718416095	0.002546401797887694	0.09842916792739449	0.005061080934732021	0.011698098472384011	0.10466756211519194	0.06571090664010426	0.030005368745326368
10000	-12158.781217232114	-11441.301493566272	-717.4797236658419	0.14291341636390742	0.12806357434417381	0.0033835483137985892	0.0022613219430270004	0.002361612785333951	0.0021726038904519864	0.07910715603431642	0.01141703165425339	0.010938137538763578	0.16148811474997832	0.06351467555939061	0.02952452724145088
11000	-12162.851255011274	-11445.143922483048	-717.707332528226	0.12308655800066065	0.08734727337581848	0.0034323177006020484	0.0016810773924497604	0.002461739352184449	0.002699339360159205	0.1019205173095679	0.01110299821028087	0.009916013795311499	0.08756721010488701	0.07788790221414577	0.027810605647830115
12000	-12163.731431345996	-11438.778365333932	-724.9530660120633	0.15580083715243953	0.07099603867441394	0.003286547468069447	0.0017295513546983202	0.003089421205465469	0.0021056685912233504	0.09831045681690236	0.007019185208242555	0.011991901568290863	0.10747032766639109	0.05803003893475248	0.036001567891996746
