#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_7_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_7_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_7_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_7_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_7_1_1" id="treeLikelihood.simcoal_input_7_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_7_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_7_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12228.6553460703	-11495.984658044452	-732.6706880258477	0.14073783760945147	0.12840156836020417	0.0026307980545080207	0.002980276921551581	0.0016605670513087604	0.0022114311933285184	0.069186226687371	0.007757846262556087	0.0061019398120190655	0.17418841648221897	0.05625226864709889	0.02120737963625678
1000	-12230.739707716177	-11486.566061271933	-744.1736464442429	0.09933675242726435	0.07972025675534566	0.0016042057247365373	0.0029328660742331462	0.00113971931901557	0.002247736609194877	0.07411137155044395	0.008981454106292247	0.004531145941550905	0.11312266992049001	0.05666104100193071	0.018666640373533307
2000	-12230.233297383273	-11492.27025268996	-737.963044693314	0.048157404174409175	0.11025187720744312	0.0017954113776542085	0.0029159431422721423	0.0016618248103355288	0.0022293968829811507	0.08348962937708515	0.010673600874788377	0.0048685134913337685	0.14527898788579396	0.0622001047924368	0.021011520419862702
3000	-12234.935599786191	-11503.460241762748	-731.475358023442	0.06759164350475386	0.13651452755367274	0.002876552516156638	0.0034574445697592277	0.0012013476143839083	0.0026040931953713094	0.0790727960864135	0.007539474109745065	0.006932927744710313	0.18050796126542737	0.07084574801722064	0.025081822169362646
4000	-12234.216212466064	-11498.300443728154	-735.9157687379111	0.05258212997573154	0.13324838027979397	0.002300438060023831	0.004188728838897927	0.0018743561932068355	0.0021315822036426894	0.08477114267060105	0.0036614698359112214	0.00824963457671233	0.1266014350203064	0.060013704116758826	0.022421823019396665
5000	-12231.411035804114	-11509.451547231069	-721.9594885730452	0.08199030462482922	0.1537866917977466	0.002339301969438035	0.0035920811207493207	0.002350260322116639	0.003041807938354657	0.09513154041065951	0.004894050239787404	0.01125696289998402	0.1480367748923588	0.05952717074009649	0.027450947714112797
6000	-12227.267064681802	-11501.774134488214	-725.492930193588	0.10583661980231587	0.150149777017558	0.002353545015657316	0.0036433636434174276	0.0020777981688511926	0.002279841267006877	0.12760513272640422	0.007669974936251395	0.007080246602494311	0.1266774714599734	0.06284160725429544	0.02796971019815534
7000	-12225.598444066405	-11492.515758312029	-733.0826857543753	0.10377866505592691	0.11921127998028878	0.002276598571630015	0.003127977044935396	0.0012914204697403629	0.0019260193168739671	0.08734795206030284	0.008910116665409485	0.007393217642350219	0.13944764955354136	0.059912045671077184	0.024317137982434876
8000	-12229.334244408727	-11500.943768343408	-728.390476065318	0.12446712496250369	0.0761551010079802	0.0019885828887914662	0.0037302763614104313	0.0013205625145245228	0.0028630426382589944	0.10357607085795617	0.00896937759036858	0.006877957026102013	0.11584644558018928	0.07319075556095747	0.025142509692555347
9000	-12229.632982101293	-11497.174904283178	-732.458077818116	0.06150668083735084	0.10130234394204084	0.00202715258154914	0.0033226675850491624	0.0014671739005660076	0.0018088289477820785	0.09671325227103025	0.010981427025520754	0.008112028637949983	0.14178588417333213	0.05900362525882694	0.027976481702650706
10000	-12226.184521785151	-11505.910914201946	-720.2736075832047	0.11158413000959196	0.14801881848830875	0.0029592901517829268	0.0033949808821230588	0.0016591025837800076	0.0020824030056219842	0.09991661268875801	0.00974897290924944	0.010401037832372216	0.16452481742273553	0.06556969778815835	0.02805744297981838
11000	-12230.276366906983	-11492.386645855611	-737.8897210513708	0.1631955168070537	0.086048660917584	0.0021033914549046717	0.003726262157267499	0.0014096605961285555	0.0023643989407692656	0.10469884963490987	0.005806557217287338	0.00525318484106463	0.09681794663731284	0.06422920839101118	0.01899279592569041
12000	-12234.157530080744	-11494.487275675243	-739.6702544055014	0.07029253313260984	0.05819593894295198	0.0022655745845542637	0.0034488297856059124	0.0017235305650858184	0.002096936097091787	0.09120065917591008	0.006513461130681725	0.004575405319634617	0.09243198849371237	0.057142015181204965	0.01664518738532891
