#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_2_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_2_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_2_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_2_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_2_1_1" id="treeLikelihood.simcoal_input_2_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_2_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_2_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12405.688894694626	-11690.079205708029	-715.6096889865962	0.09489427054001331	0.06948560235518801	0.0034503670024243357	0.002493246712608494	0.002431768811666296	0.0037843252373626654	0.16842629852659458	0.006760842142968244	0.011458421372876481	0.18087031819848545	0.07982658546193015	0.027686016800585567
1000	-12410.17803738051	-11686.637831951868	-723.5402054286427	0.10852599715795098	0.07839291993065461	0.0030575667073792804	0.001890484431581388	0.002233808224071575	0.003124064630623826	0.11498778628970514	0.005160261738770085	0.010770437388441223	0.1334127891328311	0.06733478106990577	0.019214656530726182
2000	-12407.512739889753	-11697.239575758926	-710.2731641308267	0.09719254048503169	0.11470703172335832	0.0030750904501357676	0.0025564182434019496	0.003189136861357903	0.005192446412620896	0.1607705225380887	0.005813728911714594	0.009949456046336569	0.10255867102861561	0.0830400144231903	0.023416264562162087
3000	-12404.651211987255	-11686.763473396359	-717.8877385908957	0.14057043094454535	0.14752062528821164	0.002917969614439393	0.002342316558378247	0.003078061054064879	0.0035971028130762257	0.1379399687963928	0.007131525818880429	0.008187040982247767	0.15541823181235834	0.06998082835778754	0.02163128465435623
4000	-12402.693629558547	-11690.878200231753	-711.8154293267941	0.10593114933553449	0.09766515333188411	0.0030023126286368076	0.002688110933411253	0.002652105828681581	0.0037521488914038737	0.14646457853498285	0.008297032765486724	0.00935036881093319	0.11180925071664273	0.07793911913676287	0.022548602733079723
5000	-12408.575859012695	-11707.833599777136	-700.7422592355589	0.19160794004923085	0.09959044670962294	0.004243677221810098	0.003793289314858969	0.0035791266689809546	0.004560214276755141	0.20310707063119815	0.010352712971783544	0.00828259380244162	0.12611580315349688	0.10617190449719913	0.028556812542903893
6000	-12407.962576803444	-11688.516393159847	-719.4461836435969	0.09015396193093089	0.1608740244309982	0.0032837014358456144	0.0020620749074535534	0.003370448710990812	0.00413176743991	0.17448563330929187	0.006386996879413136	0.006194849402424111	0.10638222368039434	0.07946783151859173	0.02347004797531471
7000	-12411.056017774177	-11695.913461315266	-715.1425564589113	0.06581052665221548	0.17670859706225914	0.0032948809275377164	0.002779239480046497	0.003571102206396349	0.003715812810494121	0.17175592882742285	0.009750201882293724	0.007623116413513702	0.20748956163968374	0.09613802979132256	0.026546500872521948
8000	-12406.173427849832	-11697.551357310223	-708.6220705396081	0.1778827217518521	0.10029996458623598	0.004263866627886058	0.002609316536145088	0.0032685700179796552	0.0038169868237467337	0.18833352511367552	0.008300257242030602	0.00918842366854537	0.0806330063390947	0.07791005963322728	0.02543927569249201
9000	-12406.302449782766	-11693.228518477825	-713.073931304942	0.09030202976039578	0.06074870884206271	0.0035510891321242854	0.0019053561026819944	0.0030736033444380482	0.0038097010832775268	0.1700098080663564	0.00963425019673371	0.009422714270817263	0.1441942404621783	0.0824189482247989	0.024342433452567966
10000	-12408.501045673493	-11684.662587967923	-723.8384577055697	0.10632172355834617	0.14989898284772105	0.002349023553679582	0.0023045162389924174	0.0027259735701950566	0.00380424603445826	0.1585642535585511	0.004757731807599424	0.009045151799807062	0.16485511993013396	0.08870583689424584	0.02228173175088889
11000	-12407.668555122864	-11687.462518748926	-720.2060363739383	0.09613100719464385	0.14496537497136902	0.0030026822687330462	0.002090127395766486	0.0036450637122273197	0.0037338935631691327	0.1579795001152742	0.0033759373455411745	0.01106700877201302	0.15091510288641494	0.08562953901199226	0.023443246691121713
12000	-12405.448390854843	-11698.905516562385	-706.5428742924584	0.1481147611869703	0.08781142401828902	0.004065849793016976	0.0021752235150447074	0.003919425366815874	0.0034639838320691604	0.1782486299827957	0.007733790759332291	0.012456113560799745	0.13082153904730073	0.08301894167333727	0.02709243273695978
